"OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion"
"macOS","","13.0 (380)"
"macOS","","13.0 (400)"
"macOS","","13.0 (5295)"
"macOS","","13.0 (8380)"
"macOS","","13.0.1"
"macOS","","13.1"
"macOS","","13.1 (65)"
"macOS","","13.2"
"macOS","","13.2 (49)"
"macOS","","13.2 (68)"
"macOS","","13.2.1"
"macOS","","13.3"
"macOS","","13.3 (252)"
"macOS","","13.3.1"
"NetApp Release 8.3","",""
"NetApp Release 8.3.1P1","",""
"NetApp Release 8.3.1P2","",""
"NetApp Release 8.3.2","",""
"NetApp Release 8.3.2P1","",""
"NetApp Release 8.3.2P2","",""
"NetApp Release 8.3.2P5","",""
"NetApp Release 8.3.2P7","",""
"NetApp Release 8.3.2P9","",""
"NetApp Release 8.3P2","",""
"NetApp Release 8.3RC1","",""
"NetApp Release 9.0P2","",""
"NetApp Release 9.0P4","",""
"NetApp Release 9.1","",""
"NetApp Release 9.10.1","",""
"NetApp Release 9.10.1P1","",""
"NetApp Release 9.10.1P3","",""
"NetApp Release 9.10.1P8","",""
"NetApp Release 9.11.1P3","",""
"NetApp Release 9.11.1P6","",""
"NetApp Release 9.1P1","",""
"NetApp Release 9.1P13","",""
"NetApp Release 9.1P16","",""
"NetApp Release 9.1P2","",""
"NetApp Release 9.1P3","",""
"NetApp Release 9.1P5","",""
"NetApp Release 9.1P6","",""
"NetApp Release 9.1P7","",""
"NetApp Release 9.1P8","",""
"NetApp Release 9.1P9","",""
"NetApp Release 9.2","",""
"NetApp Release 9.2P1","",""
"NetApp Release 9.2P2","",""
"NetApp Release 9.2P4","",""
"NetApp Release 9.3","",""
"NetApp Release 9.3P14","",""
"NetApp Release 9.3P17","",""
"NetApp Release 9.3P2","",""
"NetApp Release 9.3P3","",""
"NetApp Release 9.3P4","",""
"NetApp Release 9.3P5","",""
"NetApp Release 9.3P6","",""
"NetApp Release 9.4P1","",""
"NetApp Release 9.5P10","",""
"NetApp Release 9.5P13","",""
"NetApp Release 9.5P14","",""
"NetApp Release 9.5P3","",""
"NetApp Release 9.5P8","",""
"NetApp Release 9.6P3","",""
"NetApp Release 9.6P5","",""
"NetApp Release 9.6RC1","",""
"NetApp Release 9.7P12","",""
"NetApp Release 9.7P4","",""
"NetApp Release 9.7P5","",""
"NetApp Release 9.7P6","",""
"NetApp Release 9.8P15","",""
"NetApp Release 9.8P4","",""
"NetApp Release 9.8P5","",""
"NetApp Release 9.8P9","",""
